entrezgene,hgnc_symbol
NA,
6665,SOX15
100847030,MIR548AT
NA,
NA,
100616148,MIR4760
55276,PGM2
NA,VDAC2P4
744,MPPED2
NA,SNORD116-19
NA,
NA,
NA,
100642175,SPRY4-IT1
NA,RN7SKP288
6388,SDF2
NA,
NA,RNA5SP301
NA,
NA,RNU6-865P
84516,DCTN5
NA,
NA,
NA,
NA,RPPH1-3P
NA,RN7SL32P
NA,
51206,GP6
NA,
NA,RPL18AP16
647087,C7orf73
57054,DAZ3
100422948,MIR4284
NA,RNU6-737P
NA,
2637,GBX2
7430,EZR
NA,
NA,HNRNPDP1
NA,RNU7-13P
100885848,PTGES3L
NA,
NA,IGBP1P5
NA,RNA5SP430
NA,HMGN2P34
NA,KRTAP19-10P
NA,IGHVII-53-1
NA,
NA,
NA,RNU6-884P
NA,IGHV7-56
NA,RNU6-563P
NA,
NA,
NA,RNU6-315P
NA,
NA,
9662,CEP135
NA,RNU6-127P
NA,
51057,WDPCP
NA,RNU1-31P
NA,
NA,IGHV4-59
100379224,
NA,
677847,SNORA81
